SProblem,SVariant,SAblationID,MeanIGD,StdIGD,MeanHV,StdHV,MeanRuntime,DeltaIGDPercent,DeltaHVPercent,P_IGD_vsFull,P_HV_vsFull,,,,,,,,
DF1,Full,0,0.195052623,0.005725054,0.484060182,0.00697189,0.628654713,0,0,NaN,NaN,,,,,,,,
DF1,No_C3_Convergence,1,0.198226458,0.007191314,0.479430621,0.008546602,0.640518193,1.627168871,-0.956401976,0.082206466,0.030009891,,,,,,,,
DF1,No_Memristor_Adaptive,2,0.196714956,0.007141642,0.481617235,0.008880836,1.15470912,0.852248742,-0.504678556,0.328571074,0.221021575,,,,,IGD,HV,,
DF1,No_Random_Immigrants,3,0.195448748,0.006765645,0.482695273,0.008177091,1.408291243,0.203086535,-0.281970941,0.958990172,0.797098303,,,,,,,,
DF1,No_Diversity_Stagnation_Guards,5,0.196925792,0.007517229,0.482322201,0.009241257,1.97311978,0.960340348,-0.359042482,0.236936187,0.328571074,,,,1,6ÔÂ3ČŐ,7ÔÂ2ČŐ,,ok
DF1,No_Predictive_Change_Response,6,0.20636818,0.012436992,0.46628687,0.01552138,2.184996317,5.801284424,-3.671715416,8.47E-06,3.52E-06,,,,2,3ÔÂ6ČŐ,4ÔÂ5ČŐ,,ok
DF2,Full,0,0.009822652,0.002772185,0.710156956,0.003875555,2.233728797,0,0,NaN,NaN,,,,3,3ÔÂ6ČŐ,6ÔÂ3ČŐ,,
DF2,No_C3_Convergence,1,0.016548654,0.009129446,0.701891665,0.011034758,2.325072297,68.47440284,-1.163868267,0.002584559,0.00210526,,,,5,3ÔÂ6ČŐ,6ÔÂ3ČŐ,,
DF2,No_Memristor_Adaptive,2,0.008959692,0.003845313,0.711654483,0.005265612,2.307422037,-8.785411612,0.210872672,0.184621877,0.135907785,,,,6,3ÔÂ6ČŐ,8ÔÂ1ČŐ,,ok
DF2,No_Random_Immigrants,3,0.013003136,0.006057704,0.706016541,0.007981814,2.39883507,32.37907528,-0.583028234,0.006835856,0.006835856,,,,,,,,
DF2,No_Diversity_Stagnation_Guards,5,0.008902927,0.004655953,0.711722956,0.006695704,2.35874527,-9.363311704,0.220514661,0.085895826,0.068713631,,,,,,,,
DF2,No_Predictive_Change_Response,6,0.017642942,0.005929863,0.699932115,0.00794275,2.170342533,79.61485165,-1.43980016,1.49E-05,1.36E-05,,,,,,,,
DF3,Full,0,0.284428306,0.045536051,0.416052359,0.034351297,2.324195697,0,0,NaN,NaN,,,,,,,,
DF3,No_C3_Convergence,1,0.312013494,0.030578878,0.397792821,0.020767533,2.566394213,9.698467748,-4.388759751,0.002584559,0.006835856,,,,,,,,
DF3,No_Memristor_Adaptive,2,0.263548008,0.048443113,0.430007978,0.038357271,2.211627283,-7.341146318,3.354293862,0.025637124,0.027029157,,,,,,,,
DF3,No_Random_Immigrants,3,0.280219942,0.04673105,0.418504872,0.035011775,2.460983133,-1.479586981,0.589472168,0.298943752,0.141389511,,,,,,,,
DF3,No_Diversity_Stagnation_Guards,5,0.292225529,0.040755294,0.409724677,0.029677644,2.27421549,2.741366614,-1.520886131,0.280214408,0.262298719,,,,,,,,
DF3,No_Predictive_Change_Response,6,0.284373311,0.045577627,0.41543037,0.034325449,2.244885967,-0.019335312,-0.14949793,0.030009891,0.010444401,,,,,,,,
DF4,Full,0,1.212830137,0.024010159,0.989800113,0.000298017,2.85654343,0,0,NaN,NaN,,,,,,,,
DF4,No_C3_Convergence,1,1.217913412,0.012180412,0.989839041,0.000243391,3.185110363,0.41912503,0.003932912,0.585711569,0.490798493,,,,,,,,
DF4,No_Memristor_Adaptive,2,1.209675774,0.015911852,0.989598855,0.000224431,2.870229807,-0.26008287,-0.020333269,0.530440091,0.002765274,,,,,,,,
DF4,No_Random_Immigrants,3,1.205966201,0.025493246,0.989576246,0.000120936,2.959144833,-0.565943714,-0.022617402,0.264507862,6.89E-05,,,,,,,,
DF4,No_Diversity_Stagnation_Guards,5,1.210989656,0.022319007,0.989626726,0.000166616,0.90822104,-0.151750995,-0.017517445,0.926255087,0.019569215,,,,,,,,
DF4,No_Predictive_Change_Response,6,1.208023553,0.023060427,0.989686945,0.000125175,0.809519873,-0.396311441,-0.011433499,0.158000538,0.09777219,,,,,,,,
DF5,Full,0,1.067597703,0.003466588,0.747184321,0.013863506,0.621067413,0,0,NaN,NaN,,,,,,,,
DF5,No_C3_Convergence,1,1.066672756,0.005249839,0.787300443,0.036086871,0.619661047,-0.086638165,5.368972673,0.926255087,3.72E-05,,,,,,,,
DF5,No_Memristor_Adaptive,2,1.067249044,0.003788523,0.748005824,0.018924515,0.618999823,-0.032658291,0.10994648,0.599935928,0.926255087,,,,,,,,
DF5,No_Random_Immigrants,3,1.067572524,0.003825102,0.747543333,0.0137865,0.6101088,-0.002358467,0.048048628,0.829013032,0.877402728,,,,,,,,
DF5,No_Diversity_Stagnation_Guards,5,1.068633007,0.002264062,0.742294953,0.008207778,0.62431527,0.096975054,-0.654372372,0.171376389,0.062682812,,,,,,,,
DF5,No_Predictive_Change_Response,6,1.056526465,0.006665016,0.794685356,0.041927828,0.54840931,-1.037023368,6.357338341,2.35E-06,9.32E-06,,,,,,,,
DF6,Full,0,0.053275655,0.008073653,0.65446745,0.010184597,0.58894469,0,0,NaN,NaN,,,,,,,,
DF6,No_C3_Convergence,1,0.054485284,0.008248595,0.652735927,0.009387452,0.616172177,2.27051069,-0.264569804,0.253644098,0.236936187,,,,,,,,
DF6,No_Memristor_Adaptive,2,0.050883805,0.008341423,0.657240973,0.010300469,0.60867893,-4.489575021,0.423783168,0.125438239,0.152860694,,,,,,,,
DF6,No_Random_Immigrants,3,0.053512775,0.007923431,0.653692013,0.009986671,0.61774005,0.445081635,-0.118483771,0.958990172,0.7035637,,,,,,,,
DF6,No_Diversity_Stagnation_Guards,5,0.049893449,0.008316926,0.658940131,0.009759575,0.61558926,-6.348502562,0.68340763,0.093675597,0.057096495,,,,,,,,
DF6,No_Predictive_Change_Response,6,0.058200174,0.009031668,0.646906282,0.01096715,0.54461068,9.243469269,-1.155316198,6.89E-05,8.47E-06,,,,,,,,
DF7,Full,0,0.569551037,0.006395866,0.434856548,0.00428963,0.594603453,0,0,NaN,NaN,,,,,,,,
DF7,No_C3_Convergence,1,0.554653303,0.016249492,0.430576653,0.006921823,0.588113063,-2.615697726,-0.984208276,7.51E-05,0.010444401,,,,,,,,
DF7,No_Memristor_Adaptive,2,0.569674376,0.006103026,0.43439972,0.004660811,0.584610263,0.02165553,-0.105052451,0.975387164,0.991794564,,,,,,,,
DF7,No_Random_Immigrants,3,0.566736128,0.008540408,0.433775651,0.005209581,0.592855273,-0.49423297,-0.24856401,0.349345562,0.628843002,,,,,,,,
DF7,No_Diversity_Stagnation_Guards,5,0.566895629,0.010948352,0.434219397,0.006457541,0.630085333,-0.466228238,-0.146519637,0.393334372,0.749871156,,,,,,,,
DF7,No_Predictive_Change_Response,6,0.544180584,0.01305509,0.41258354,0.009191701,0.5266371,-4.454465156,-5.121920723,4.73E-06,2.35E-06,,,,,,,,
DF8,Full,0,1.274757356,0.157817387,0.999721028,0.000105128,0.596701937,0,0,NaN,NaN,,,,,,,,
DF8,No_C3_Convergence,1,1.390937889,0.023510243,0.999675613,0.000135647,0.63810834,9.113933175,-0.004542781,0.028485956,0.221021575,,,,,,,,
DF8,No_Memristor_Adaptive,2,1.220001933,0.170575477,0.999679248,0.000126694,0.612698577,-4.295360399,-0.004179163,0.177907383,0.106394173,,,,,,,,
DF8,No_Random_Immigrants,3,1.272719601,0.154042557,0.999730046,9.44E-05,0.634562317,-0.159854315,0.000902047,0.687373616,0.688359298,,,,,,,,
DF8,No_Diversity_Stagnation_Guards,5,1.245275485,0.161499755,0.999681445,0.000119532,0.614831467,-2.312743744,-0.003959432,0.308614851,0.141389511,,,,,,,,
DF8,No_Predictive_Change_Response,6,1.192755655,0.15010092,0.998999395,0.000827575,0.576797553,-6.432730122,-0.072183493,0.00061791,2.13E-06,,,,,,,,
DF9,Full,0,0.676619177,0.060559528,0.513646523,0.059850498,0.635318743,0,0,NaN,NaN,,,,,,,,
DF9,No_C3_Convergence,1,0.665103192,0.012145169,0.493236425,0.0154985,0.6372507,-1.701989122,-3.973568715,0.544006208,0.047161747,,,,,,,,
DF9,No_Memristor_Adaptive,2,0.677898264,0.067047653,0.513922844,0.056041764,0.62597409,0.189040845,0.053795882,0.958990172,0.7035637,,,,,,,,
DF9,No_Random_Immigrants,3,0.674998533,0.060596109,0.512623898,0.060835789,0.635619257,-0.239520898,-0.199091166,0.38686642,0.428430029,,,,,,,,
DF9,No_Diversity_Stagnation_Guards,5,0.671862544,0.040102052,0.515349817,0.04969716,0.627768287,-0.703000037,0.331608292,0.7035637,0.452806505,,,,,,,,
DF9,No_Predictive_Change_Response,6,0.671354065,0.061982251,0.505416721,0.062412113,0.526701047,-0.778149926,-1.602230556,0.074437625,0.002255124,,,,,,,,
